timestamp,mic0,mic1,mic2,mic3
0,54.0,53.0,53.0,52.0
2,53.0,52.0,54.0,53.0
4,54.0,53.0,53.0,53.0
6,54.0,53.0,53.0,53.0
8,53.0,52.0,53.0,53.0
10,54.0,53.0,54.0,53.0
12,54.0,53.0,53.0,53.0
14,54.0,52.0,54.0,53.0
16,54.0,52.0,54.0,52.0
18,53.0,53.0,54.0,53.0
20,54.0,52.0,53.0,53.0
22,54.0,52.0,54.0,53.0
24,54.0,53.0,54.0,53.0
26,54.0,53.0,53.0,53.0
28,54.0,53.0,54.0,53.0
30,54.0,53.0,53.0,53.0
32,54.0,53.0,53.0,53.0
34,54.0,53.0,54.0,53.0
36,54.0,53.0,54.0,53.0
38,54.0,53.0,53.0,53.0
40,54.0,52.0,54.0,53.0
42,54.0,53.0,54.0,53.0
44,54.0,53.0,54.0,53.0
46,54.0,52.0,53.0,53.0
48,54.0,53.0,54.0,53.0
50,54.0,53.0,54.0,53.0
52,54.0,53.0,54.0,53.0
54,53.0,52.0,54.0,53.0
56,53.0,52.0,53.0,53.0
58,54.0,52.0,54.0,53.0
60,54.0,52.0,53.0,53.0
62,54.0,53.0,54.0,53.0
64,54.0,53.0,54.0,53.0
66,54.0,53.0,53.0,53.0
68,54.0,52.0,54.0,53.0
70,53.0,52.0,53.0,53.0
72,54.0,53.0,53.0,53.0
74,54.0,53.0,54.0,53.0
76,53.0,53.0,54.0,53.0
78,53.0,52.0,54.0,53.0
80,53.0,52.0,53.0,53.0
82,54.0,53.0,53.0,53.0
84,54.0,53.0,54.0,53.0
86,54.0,53.0,54.0,53.0
88,54.0,52.0,54.0,53.0
90,54.0,53.0,53.0,53.0
92,54.0,53.0,53.0,53.0
94,54.0,53.0,54.0,53.0
96,54.0,53.0,53.0,53.0
98,54.0,53.0,54.0,53.0
100,54.0,52.0,54.0,53.0
102,54.0,53.0,53.0,53.0
104,54.0,53.0,54.0,53.0
106,54.0,52.0,53.0,53.0
108,54.0,52.0,54.0,53.0
110,54.0,53.0,54.0,53.0
112,54.0,53.0,54.0,53.0
114,54.0,53.0,54.0,53.0
116,54.0,53.0,53.0,53.0
118,54.0,53.0,54.0,53.0
120,54.0,53.0,53.0,52.0
122,54.0,53.0,54.0,53.0
124,54.0,53.0,54.0,52.0
126,54.0,52.0,54.0,53.0
128,54.0,53.0,54.0,53.0
130,54.0,52.0,53.0,53.0
132,54.0,52.0,54.0,53.0
134,54.0,52.0,53.0,53.0
136,54.0,53.0,54.0,53.0
138,54.0,53.0,53.0,53.0
140,54.0,52.0,54.0,54.0
142,54.0,53.0,53.0,53.0
144,54.0,53.0,54.0,53.0
146,54.0,53.0,53.0,53.0
148,54.0,53.0,53.0,53.0
150,54.0,53.0,54.0,53.0
152,54.0,53.0,54.0,53.0
154,54.0,53.0,53.0,53.0
156,54.0,53.0,54.0,53.0
158,54.0,52.0,54.0,53.0
160,53.0,53.0,54.0,53.0
162,53.0,52.0,54.0,53.0
164,54.0,53.0,53.0,53.0
166,54.0,53.0,54.0,53.0
168,54.0,53.0,53.0,53.0
170,54.0,53.0,53.0,53.0
172,54.0,53.0,54.0,52.0
174,54.0,53.0,53.0,52.0
176,53.0,53.0,54.0,53.0
178,54.0,53.0,53.0,53.0
180,54.0,53.0,54.0,53.0
182,53.0,52.0,53.0,53.0
184,54.0,53.0,54.0,53.0
186,54.0,52.0,53.0,53.0
188,54.0,53.0,54.0,53.0
190,54.0,53.0,54.0,53.0
192,53.0,53.0,53.0,53.0
194,54.0,53.0,53.0,53.0
196,54.0,53.0,54.0,53.0
198,54.0,53.0,53.0,53.0
200,53.0,53.0,53.0,53.0
202,54.0,53.0,54.0,53.0
204,54.0,53.0,53.0,53.0
206,54.0,53.0,53.0,53.0
208,54.0,53.0,54.0,53.0
210,54.0,53.0,53.0,52.0
212,54.0,53.0,53.0,52.0
214,54.0,53.0,53.0,52.0
216,54.0,53.0,53.0,53.0
218,55.0,52.0,54.0,53.0
220,55.0,52.0,53.0,53.0
222,55.0,53.0,53.0,54.0
224,54.0,53.0,53.0,53.0
226,55.0,53.0,53.0,52.0
228,54.0,52.0,54.0,52.0
230,54.0,53.0,53.0,53.0
232,54.0,53.0,53.0,53.0
234,54.0,53.0,53.0,53.0
236,54.0,53.0,54.0,53.0
238,54.0,53.0,53.0,53.0
240,54.0,53.0,53.0,53.0
242,54.0,52.0,53.0,53.0
244,54.0,53.0,53.0,53.0
246,54.0,53.0,53.0,53.0
248,54.0,53.0,54.0,53.0
250,54.0,53.0,54.0,53.0
252,54.0,53.0,53.0,53.0
254,51.0,53.0,53.0,52.0
256,52.0,53.0,53.0,54.0
258,53.0,53.0,52.0,51.0
260,56.0,53.0,54.0,50.0
262,54.0,53.0,53.0,51.0
264,54.0,53.0,53.0,53.0
266,54.0,53.0,54.0,52.0
268,55.0,52.0,54.0,53.0
270,54.0,52.0,53.0,53.0
272,53.0,52.0,54.0,53.0
274,53.0,53.0,54.0,52.0
276,55.0,52.0,53.0,53.0
278,55.0,53.0,54.0,53.0
280,54.0,53.0,54.0,53.0
282,53.0,53.0,53.0,53.0
284,55.0,52.0,53.0,52.0
286,54.0,53.0,53.0,52.0
288,53.0,53.0,53.0,53.0
290,53.0,52.0,54.0,53.0
292,53.0,53.0,53.0,53.0
294,53.0,53.0,54.0,53.0
296,53.0,53.0,53.0,53.0
298,52.0,53.0,54.0,53.0
300,52.0,53.0,53.0,53.0
302,52.0,52.0,54.0,53.0
304,52.0,53.0,53.0,53.0
306,51.0,52.0,54.0,53.0
308,52.0,53.0,53.0,53.0
310,52.0,53.0,53.0,53.0
312,51.0,53.0,54.0,53.0
314,49.0,53.0,54.0,53.0
316,50.0,53.0,53.0,53.0
318,49.0,53.0,53.0,54.0
320,50.0,53.0,54.0,53.0
322,52.0,52.0,53.0,56.0
324,57.0,53.0,55.0,51.0
326,54.0,53.0,55.0,50.0
328,56.0,54.0,52.0,54.0
330,61.0,54.0,54.0,54.0
332,62.0,53.0,54.0,54.0
334,62.0,52.0,54.0,55.0
336,61.0,51.0,52.0,53.0
338,61.0,53.0,53.0,55.0
340,58.0,53.0,54.0,54.0
342,57.0,53.0,52.0,53.0
344,55.0,53.0,53.0,53.0
346,49.0,53.0,54.0,48.0
348,49.0,54.0,55.0,51.0
350,50.0,53.0,53.0,51.0
352,50.0,52.0,54.0,51.0
354,47.0,53.0,53.0,54.0
356,47.0,52.0,53.0,53.0
358,48.0,52.0,54.0,52.0
360,49.0,53.0,54.0,51.0
362,51.0,53.0,53.0,52.0
364,52.0,52.0,54.0,53.0
366,55.0,53.0,53.0,52.0
368,57.0,53.0,53.0,53.0
370,58.0,53.0,54.0,53.0
372,58.0,53.0,54.0,53.0
374,58.0,52.0,53.0,53.0
376,58.0,53.0,53.0,53.0
378,56.0,52.0,53.0,53.0
380,56.0,53.0,53.0,53.0
382,55.0,53.0,54.0,53.0
384,54.0,52.0,54.0,53.0
386,53.0,53.0,54.0,53.0
388,52.0,52.0,53.0,53.0
390,51.0,52.0,53.0,53.0
392,51.0,53.0,54.0,53.0
394,52.0,52.0,53.0,53.0
396,52.0,52.0,54.0,52.0
398,52.0,52.0,53.0,53.0
400,53.0,53.0,53.0,53.0
402,54.0,53.0,54.0,53.0
404,55.0,53.0,54.0,53.0
406,55.0,53.0,54.0,53.0
408,55.0,53.0,53.0,53.0
410,55.0,53.0,53.0,53.0
412,55.0,53.0,53.0,53.0
414,54.0,53.0,54.0,53.0
416,54.0,53.0,53.0,53.0
418,53.0,53.0,54.0,53.0
420,52.0,53.0,54.0,53.0
422,52.0,53.0,54.0,53.0
424,52.0,53.0,53.0,53.0
426,51.0,53.0,54.0,53.0
428,52.0,52.0,54.0,53.0
430,52.0,53.0,53.0,53.0
432,53.0,52.0,53.0,53.0
434,54.0,52.0,53.0,53.0
436,54.0,53.0,54.0,53.0
438,54.0,53.0,53.0,53.0
440,55.0,53.0,53.0,53.0
442,55.0,53.0,53.0,53.0
444,54.0,52.0,53.0,53.0
446,54.0,53.0,54.0,53.0
448,54.0,52.0,54.0,53.0
450,53.0,52.0,53.0,53.0
452,53.0,53.0,53.0,53.0
454,52.0,53.0,54.0,53.0
456,52.0,52.0,54.0,53.0
458,52.0,53.0,54.0,53.0
460,52.0,53.0,54.0,52.0
462,52.0,53.0,54.0,53.0
464,52.0,53.0,53.0,53.0
466,53.0,53.0,54.0,53.0
468,53.0,53.0,53.0,53.0
470,53.0,53.0,53.0,53.0
472,54.0,52.0,53.0,53.0
474,54.0,53.0,54.0,53.0
476,53.0,53.0,54.0,52.0
478,54.0,53.0,54.0,53.0
480,53.0,53.0,54.0,53.0
482,53.0,53.0,53.0,53.0
484,52.0,53.0,54.0,53.0
486,52.0,53.0,53.0,53.0
488,51.0,52.0,53.0,53.0
490,51.0,52.0,53.0,53.0
492,51.0,53.0,54.0,53.0
494,51.0,52.0,53.0,53.0
496,51.0,53.0,54.0,53.0
498,50.0,52.0,53.0,53.0
500,52.0,53.0,54.0,53.0
502,51.0,52.0,54.0,53.0
504,52.0,52.0,54.0,53.0
506,52.0,53.0,53.0,53.0
508,53.0,53.0,54.0,53.0
510,53.0,53.0,53.0,52.0
512,52.0,53.0,54.0,53.0
514,52.0,53.0,54.0,52.0
516,51.0,53.0,53.0,53.0
518,52.0,53.0,54.0,53.0
520,51.0,53.0,53.0,53.0
522,51.0,53.0,53.0,53.0
524,52.0,52.0,54.0,53.0
526,51.0,53.0,54.0,53.0
528,51.0,53.0,54.0,53.0
530,51.0,53.0,54.0,53.0
532,51.0,52.0,53.0,53.0
534,52.0,53.0,54.0,52.0
536,52.0,53.0,54.0,53.0
538,52.0,52.0,53.0,53.0
540,53.0,53.0,54.0,52.0
542,53.0,52.0,54.0,53.0
544,53.0,53.0,54.0,53.0
546,52.0,53.0,54.0,53.0
548,53.0,53.0,53.0,52.0
550,53.0,53.0,53.0,53.0
552,53.0,53.0,53.0,53.0
554,52.0,53.0,54.0,53.0
556,52.0,53.0,54.0,53.0
558,52.0,53.0,54.0,52.0
560,52.0,53.0,54.0,53.0
562,52.0,52.0,54.0,53.0
564,53.0,53.0,54.0,54.0
566,54.0,53.0,54.0,54.0
568,54.0,53.0,53.0,53.0
570,55.0,53.0,53.0,54.0
572,55.0,53.0,53.0,53.0
574,56.0,53.0,53.0,53.0
576,57.0,53.0,53.0,52.0
578,57.0,53.0,54.0,53.0
580,56.0,52.0,54.0,53.0
582,56.0,52.0,54.0,53.0
584,55.0,53.0,54.0,54.0
586,54.0,53.0,55.0,53.0
588,53.0,53.0,53.0,54.0
590,50.0,52.0,54.0,54.0
592,48.0,53.0,53.0,54.0
594,47.0,52.0,53.0,54.0
596,47.0,52.0,53.0,53.0
598,40.0,52.0,55.0,53.0
600,39.0,52.0,59.0,50.0
602,49.0,53.0,52.0,52.0
604,52.0,51.0,56.0,55.0
606,49.0,52.0,52.0,57.0
608,52.0,53.0,53.0,47.0
610,55.0,54.0,53.0,52.0
612,54.0,51.0,54.0,46.0
614,55.0,52.0,52.0,49.0
616,54.0,53.0,53.0,52.0
618,55.0,53.0,55.0,55.0
620,57.0,54.0,52.0,49.0
622,59.0,54.0,54.0,51.0
624,55.0,53.0,53.0,53.0
626,55.0,53.0,53.0,54.0
628,56.0,53.0,53.0,53.0
630,53.0,53.0,54.0,53.0
632,51.0,53.0,53.0,53.0
634,50.0,53.0,53.0,52.0
636,51.0,53.0,53.0,52.0
638,51.0,53.0,54.0,53.0
640,52.0,53.0,53.0,52.0
642,51.0,53.0,54.0,52.0
644,51.0,53.0,54.0,53.0
646,53.0,53.0,53.0,54.0
648,54.0,53.0,54.0,53.0
650,53.0,53.0,54.0,53.0
652,55.0,53.0,53.0,53.0
654,56.0,52.0,53.0,53.0
656,55.0,52.0,54.0,53.0
658,54.0,53.0,53.0,53.0
660,54.0,52.0,53.0,53.0
662,54.0,53.0,53.0,53.0
664,53.0,53.0,54.0,53.0
666,53.0,53.0,53.0,52.0
668,52.0,52.0,54.0,53.0
670,52.0,52.0,53.0,53.0
672,52.0,53.0,53.0,53.0
674,52.0,52.0,54.0,53.0
676,52.0,52.0,54.0,53.0
678,53.0,52.0,53.0,53.0
680,54.0,53.0,54.0,53.0
682,54.0,53.0,53.0,53.0
684,55.0,53.0,54.0,53.0
686,55.0,53.0,54.0,53.0
688,55.0,53.0,54.0,53.0
690,55.0,52.0,53.0,53.0
692,55.0,53.0,53.0,53.0
694,54.0,53.0,54.0,52.0
696,54.0,53.0,54.0,53.0
698,54.0,53.0,54.0,53.0
700,53.0,53.0,54.0,53.0
702,52.0,52.0,53.0,53.0
704,52.0,53.0,54.0,53.0
706,52.0,52.0,54.0,53.0
708,52.0,52.0,53.0,53.0
710,52.0,53.0,53.0,53.0
712,53.0,53.0,54.0,53.0
714,53.0,53.0,54.0,53.0
716,53.0,53.0,53.0,53.0
718,54.0,53.0,53.0,53.0
720,54.0,53.0,53.0,53.0
722,54.0,53.0,53.0,53.0
724,55.0,53.0,53.0,53.0
