timestamp,mic0,mic1,mic2,mic3
0,53.0,53.0,54.0,53.0
2,53.0,53.0,53.0,53.0
4,53.0,53.0,53.0,53.0
6,53.0,53.0,53.0,53.0
8,53.0,53.0,54.0,53.0
10,53.0,53.0,54.0,53.0
12,53.0,53.0,53.0,53.0
14,54.0,53.0,54.0,53.0
16,54.0,53.0,54.0,53.0
18,54.0,53.0,53.0,53.0
20,54.0,53.0,54.0,53.0
22,54.0,53.0,54.0,53.0
24,54.0,53.0,54.0,53.0
26,54.0,53.0,53.0,53.0
28,54.0,53.0,54.0,53.0
30,54.0,53.0,54.0,53.0
32,54.0,53.0,54.0,53.0
34,54.0,53.0,54.0,53.0
36,54.0,53.0,54.0,53.0
38,54.0,53.0,53.0,53.0
40,54.0,53.0,54.0,53.0
42,54.0,53.0,53.0,53.0
44,54.0,53.0,53.0,53.0
46,54.0,53.0,54.0,53.0
48,54.0,53.0,54.0,53.0
50,54.0,53.0,54.0,53.0
52,54.0,52.0,54.0,53.0
54,54.0,53.0,54.0,53.0
56,54.0,53.0,53.0,53.0
58,54.0,53.0,53.0,53.0
60,54.0,53.0,54.0,53.0
62,54.0,53.0,54.0,53.0
64,54.0,52.0,54.0,53.0
66,54.0,53.0,54.0,53.0
68,54.0,53.0,54.0,53.0
70,54.0,53.0,53.0,53.0
72,54.0,53.0,54.0,53.0
74,54.0,53.0,53.0,53.0
76,54.0,53.0,53.0,53.0
78,54.0,53.0,54.0,53.0
80,54.0,53.0,54.0,53.0
82,54.0,53.0,53.0,53.0
84,54.0,53.0,54.0,53.0
86,54.0,53.0,53.0,53.0
88,54.0,53.0,54.0,53.0
90,54.0,53.0,54.0,53.0
92,54.0,53.0,53.0,53.0
94,54.0,53.0,53.0,52.0
96,54.0,53.0,54.0,53.0
98,54.0,53.0,53.0,53.0
100,54.0,53.0,53.0,53.0
102,54.0,53.0,54.0,53.0
104,54.0,52.0,53.0,53.0
106,54.0,53.0,54.0,53.0
108,54.0,53.0,54.0,53.0
110,54.0,53.0,54.0,53.0
112,54.0,52.0,54.0,53.0
114,54.0,53.0,54.0,53.0
116,54.0,53.0,54.0,53.0
118,54.0,53.0,54.0,53.0
120,54.0,53.0,54.0,53.0
122,54.0,53.0,54.0,53.0
124,54.0,53.0,53.0,53.0
126,54.0,53.0,54.0,54.0
128,55.0,53.0,53.0,56.0
130,57.0,54.0,55.0,51.0
132,68.0,52.0,56.0,77.0
134,68.0,52.0,55.0,124.0
136,60.0,50.0,52.0,63.0
138,64.0,46.0,57.0,-13.0
140,50.0,53.0,54.0,-3.0
142,57.0,61.0,54.0,69.0
144,70.0,59.0,56.0,91.0
146,65.0,51.0,54.0,94.0
148,57.0,56.0,57.0,84.0
150,59.0,55.0,53.0,60.0
152,59.0,51.0,54.0,43.0
154,57.0,49.0,53.0,42.0
156,57.0,52.0,54.0,54.0
158,58.0,52.0,54.0,38.0
160,56.0,51.0,53.0,44.0
162,52.0,53.0,53.0,49.0
164,58.0,54.0,53.0,60.0
166,57.0,54.0,54.0,64.0
168,55.0,55.0,55.0,63.0
170,53.0,54.0,54.0,58.0
172,52.0,53.0,54.0,56.0
174,51.0,52.0,54.0,55.0
176,52.0,53.0,53.0,56.0
178,53.0,52.0,54.0,53.0
180,51.0,52.0,54.0,51.0
182,50.0,53.0,54.0,52.0
184,50.0,52.0,53.0,54.0
186,49.0,52.0,54.0,54.0
188,49.0,53.0,54.0,54.0
190,50.0,53.0,54.0,54.0
192,56.0,54.0,51.0,56.0
194,63.0,52.0,53.0,46.0
196,60.0,54.0,52.0,58.0
198,62.0,54.0,55.0,51.0
200,66.0,53.0,53.0,53.0
202,61.0,53.0,55.0,56.0
204,57.0,53.0,53.0,56.0
206,54.0,53.0,53.0,55.0
208,56.0,52.0,52.0,55.0
210,61.0,52.0,53.0,51.0
212,61.0,53.0,53.0,64.0
214,58.0,53.0,54.0,55.0
216,61.0,54.0,51.0,51.0
218,61.0,54.0,54.0,55.0
220,57.0,52.0,53.0,60.0
222,56.0,52.0,54.0,57.0
224,56.0,53.0,53.0,53.0
226,56.0,52.0,54.0,55.0
228,57.0,52.0,52.0,55.0
230,55.0,53.0,54.0,53.0
232,53.0,53.0,54.0,52.0
234,50.0,53.0,54.0,54.0
236,48.0,53.0,54.0,56.0
238,47.0,53.0,54.0,54.0
