timestamp,mic0,mic1,mic2,mic3
0,54.0,53.0,54.0,53.0
2,54.0,53.0,53.0,52.0
4,53.0,53.0,53.0,53.0
6,53.0,52.0,53.0,53.0
8,53.0,53.0,53.0,53.0
10,53.0,53.0,53.0,53.0
12,53.0,53.0,53.0,53.0
14,53.0,53.0,53.0,52.0
16,53.0,53.0,53.0,53.0
18,54.0,53.0,53.0,53.0
20,53.0,53.0,54.0,53.0
22,53.0,53.0,53.0,53.0
24,53.0,53.0,54.0,52.0
26,53.0,53.0,53.0,53.0
28,54.0,53.0,53.0,53.0
30,54.0,53.0,53.0,53.0
32,54.0,53.0,54.0,53.0
34,53.0,53.0,53.0,53.0
36,53.0,53.0,53.0,53.0
38,53.0,53.0,53.0,53.0
40,53.0,53.0,53.0,53.0
42,53.0,53.0,54.0,53.0
44,54.0,53.0,53.0,53.0
46,53.0,53.0,54.0,53.0
48,53.0,53.0,54.0,53.0
50,54.0,52.0,53.0,53.0
52,53.0,53.0,54.0,53.0
54,53.0,53.0,53.0,53.0
56,54.0,53.0,54.0,53.0
58,53.0,52.0,53.0,53.0
60,53.0,53.0,53.0,53.0
62,53.0,52.0,53.0,53.0
64,52.0,53.0,53.0,53.0
66,53.0,53.0,53.0,53.0
68,54.0,53.0,53.0,53.0
70,54.0,53.0,53.0,53.0
72,53.0,53.0,54.0,52.0
74,54.0,53.0,53.0,52.0
76,54.0,52.0,53.0,53.0
78,53.0,53.0,54.0,53.0
80,53.0,52.0,54.0,54.0
82,53.0,53.0,54.0,52.0
84,54.0,53.0,54.0,52.0
86,54.0,53.0,54.0,52.0
88,54.0,52.0,54.0,53.0
90,53.0,53.0,54.0,53.0
92,54.0,52.0,53.0,53.0
94,53.0,53.0,54.0,53.0
96,53.0,53.0,53.0,52.0
98,53.0,52.0,53.0,52.0
100,55.0,53.0,53.0,53.0
102,55.0,53.0,53.0,53.0
104,54.0,53.0,53.0,53.0
106,53.0,53.0,53.0,53.0
108,54.0,52.0,53.0,53.0
110,54.0,53.0,54.0,53.0
112,53.0,53.0,53.0,53.0
114,54.0,53.0,53.0,53.0
116,55.0,53.0,54.0,53.0
118,54.0,53.0,53.0,53.0
120,54.0,53.0,53.0,53.0
122,54.0,53.0,53.0,53.0
124,54.0,53.0,53.0,53.0
126,54.0,52.0,53.0,53.0
128,54.0,53.0,54.0,53.0
130,54.0,53.0,53.0,53.0
132,54.0,53.0,53.0,53.0
134,55.0,53.0,53.0,53.0
136,54.0,53.0,53.0,53.0
138,54.0,53.0,53.0,53.0
140,54.0,52.0,53.0,52.0
142,54.0,52.0,54.0,53.0
144,54.0,53.0,54.0,53.0
146,54.0,52.0,53.0,53.0
148,54.0,53.0,53.0,53.0
150,54.0,53.0,54.0,53.0
152,54.0,53.0,54.0,53.0
154,54.0,53.0,53.0,53.0
156,53.0,52.0,53.0,53.0
158,53.0,52.0,54.0,53.0
160,54.0,53.0,54.0,53.0
162,53.0,53.0,53.0,53.0
164,54.0,53.0,53.0,54.0
166,54.0,53.0,53.0,53.0
168,54.0,53.0,54.0,53.0
170,53.0,52.0,54.0,53.0
172,54.0,52.0,53.0,53.0
174,53.0,53.0,53.0,53.0
176,53.0,53.0,53.0,53.0
178,53.0,52.0,54.0,53.0
180,53.0,53.0,53.0,53.0
182,53.0,52.0,53.0,53.0
184,53.0,53.0,53.0,53.0
186,52.0,53.0,54.0,52.0
188,52.0,53.0,54.0,53.0
190,51.0,52.0,53.0,54.0
192,51.0,52.0,54.0,52.0
194,52.0,54.0,54.0,52.0
196,54.0,53.0,54.0,52.0
198,58.0,54.0,54.0,52.0
200,58.0,54.0,54.0,55.0
202,59.0,54.0,54.0,53.0
204,59.0,52.0,54.0,48.0
206,62.0,54.0,54.0,51.0
208,61.0,54.0,53.0,53.0
210,58.0,53.0,53.0,56.0
212,55.0,53.0,53.0,56.0
214,53.0,53.0,52.0,53.0
216,49.0,52.0,53.0,53.0
218,45.0,51.0,52.0,55.0
220,45.0,51.0,52.0,53.0
222,47.0,52.0,53.0,52.0
224,49.0,52.0,53.0,52.0
226,51.0,53.0,53.0,52.0
228,53.0,52.0,53.0,52.0
230,55.0,53.0,53.0,52.0
232,56.0,53.0,53.0,53.0
234,55.0,53.0,53.0,54.0
236,55.0,53.0,53.0,53.0
238,56.0,53.0,54.0,53.0
240,57.0,53.0,55.0,53.0
242,56.0,53.0,56.0,53.0
244,55.0,53.0,55.0,53.0
246,55.0,53.0,55.0,53.0
248,54.0,53.0,54.0,53.0
250,54.0,53.0,54.0,53.0
252,53.0,52.0,54.0,53.0
254,55.0,53.0,54.0,52.0
256,56.0,53.0,54.0,53.0
258,55.0,52.0,53.0,53.0
260,53.0,52.0,53.0,53.0
262,53.0,52.0,53.0,53.0
264,52.0,52.0,52.0,52.0
266,52.0,52.0,52.0,53.0
268,51.0,53.0,52.0,53.0
270,51.0,52.0,52.0,53.0
272,52.0,52.0,53.0,52.0
274,52.0,52.0,53.0,52.0
276,51.0,52.0,53.0,53.0
278,51.0,53.0,53.0,53.0
280,53.0,53.0,53.0,53.0
282,54.0,53.0,53.0,53.0
284,55.0,53.0,54.0,53.0
286,55.0,53.0,54.0,53.0
288,56.0,53.0,54.0,53.0
290,56.0,53.0,54.0,53.0
292,55.0,53.0,55.0,53.0
294,55.0,53.0,55.0,53.0
296,55.0,53.0,55.0,53.0
298,55.0,53.0,54.0,53.0
300,54.0,53.0,54.0,53.0
302,53.0,53.0,54.0,53.0
304,53.0,53.0,54.0,53.0
306,53.0,53.0,54.0,53.0
308,52.0,52.0,54.0,53.0
310,52.0,52.0,54.0,53.0
312,52.0,52.0,53.0,53.0
314,52.0,52.0,53.0,52.0
316,52.0,52.0,53.0,53.0
318,52.0,52.0,53.0,53.0
320,52.0,52.0,53.0,53.0
322,52.0,52.0,53.0,53.0
324,51.0,53.0,53.0,52.0
326,51.0,52.0,53.0,53.0
328,51.0,53.0,53.0,52.0
330,51.0,52.0,53.0,53.0
332,51.0,53.0,53.0,53.0
334,52.0,52.0,54.0,53.0
336,53.0,53.0,54.0,53.0
338,53.0,53.0,54.0,53.0
340,55.0,53.0,54.0,55.0
342,57.0,53.0,54.0,53.0
344,56.0,53.0,54.0,54.0
346,52.0,53.0,55.0,56.0
348,52.0,52.0,54.0,51.0
350,53.0,52.0,54.0,52.0
352,52.0,52.0,54.0,52.0
354,50.0,52.0,54.0,52.0
356,52.0,52.0,54.0,52.0
358,54.0,53.0,54.0,51.0
360,52.0,52.0,54.0,52.0
362,50.0,53.0,54.0,53.0
364,49.0,52.0,53.0,54.0
366,51.0,53.0,54.0,54.0
368,51.0,53.0,53.0,52.0
370,52.0,52.0,53.0,52.0
372,52.0,53.0,53.0,52.0
374,52.0,52.0,53.0,52.0
376,53.0,52.0,53.0,53.0
378,52.0,52.0,53.0,53.0
380,50.0,53.0,53.0,53.0
382,52.0,52.0,54.0,53.0
384,53.0,52.0,54.0,53.0
386,52.0,53.0,54.0,53.0
388,52.0,53.0,54.0,53.0
390,53.0,53.0,53.0,53.0
392,53.0,53.0,55.0,53.0
394,52.0,53.0,54.0,54.0
396,52.0,53.0,54.0,53.0
398,53.0,53.0,54.0,53.0
400,54.0,53.0,54.0,53.0
402,54.0,52.0,54.0,53.0
404,53.0,53.0,55.0,53.0
406,53.0,52.0,53.0,53.0
408,53.0,53.0,53.0,53.0
410,52.0,52.0,53.0,53.0
412,52.0,53.0,54.0,53.0
414,52.0,53.0,54.0,52.0
416,52.0,53.0,53.0,53.0
418,53.0,53.0,54.0,53.0
420,52.0,52.0,53.0,52.0
422,52.0,53.0,53.0,53.0
424,53.0,53.0,53.0,51.0
426,53.0,52.0,53.0,53.0
428,54.0,53.0,54.0,50.0
430,54.0,53.0,53.0,53.0
432,54.0,52.0,54.0,53.0
434,54.0,52.0,53.0,52.0
436,54.0,52.0,54.0,53.0
438,53.0,53.0,53.0,53.0
440,54.0,53.0,53.0,53.0
442,55.0,53.0,53.0,52.0
444,54.0,53.0,54.0,53.0
446,53.0,53.0,53.0,53.0
448,53.0,53.0,54.0,54.0
