timestamp,mic0,mic1,mic2,mic3
0,54.0,53.0,54.0,53.0
2,54.0,52.0,53.0,53.0
4,54.0,53.0,53.0,53.0
6,54.0,53.0,54.0,53.0
8,53.0,53.0,53.0,53.0
10,54.0,53.0,53.0,53.0
12,53.0,53.0,53.0,53.0
14,53.0,53.0,54.0,53.0
16,53.0,53.0,54.0,53.0
18,53.0,53.0,53.0,53.0
20,54.0,53.0,54.0,53.0
22,53.0,53.0,54.0,53.0
24,53.0,52.0,54.0,53.0
26,53.0,53.0,53.0,53.0
28,53.0,52.0,53.0,53.0
30,53.0,53.0,54.0,53.0
32,53.0,52.0,53.0,53.0
34,53.0,53.0,53.0,53.0
36,53.0,52.0,53.0,53.0
38,53.0,52.0,53.0,53.0
40,53.0,53.0,53.0,53.0
42,53.0,53.0,54.0,53.0
44,53.0,52.0,53.0,53.0
46,53.0,52.0,54.0,53.0
48,53.0,53.0,54.0,53.0
50,53.0,52.0,54.0,53.0
52,53.0,53.0,53.0,53.0
54,53.0,52.0,54.0,53.0
56,53.0,53.0,53.0,53.0
58,53.0,53.0,53.0,53.0
60,54.0,53.0,54.0,53.0
62,53.0,53.0,53.0,53.0
64,53.0,53.0,54.0,53.0
66,53.0,53.0,53.0,53.0
68,54.0,52.0,54.0,53.0
70,54.0,53.0,53.0,53.0
72,54.0,52.0,54.0,53.0
74,54.0,52.0,53.0,53.0
76,54.0,52.0,53.0,53.0
78,53.0,53.0,54.0,53.0
80,54.0,52.0,54.0,53.0
82,53.0,53.0,54.0,53.0
84,54.0,53.0,54.0,53.0
86,54.0,53.0,54.0,53.0
88,54.0,53.0,53.0,53.0
90,54.0,52.0,54.0,53.0
92,54.0,53.0,54.0,53.0
94,53.0,52.0,54.0,53.0
96,54.0,53.0,53.0,52.0
98,53.0,53.0,53.0,53.0
100,54.0,53.0,54.0,53.0
102,53.0,53.0,53.0,53.0
104,53.0,53.0,54.0,53.0
106,53.0,53.0,54.0,53.0
108,53.0,52.0,53.0,53.0
110,53.0,53.0,54.0,53.0
112,53.0,53.0,53.0,53.0
114,53.0,53.0,53.0,53.0
116,53.0,53.0,53.0,53.0
118,53.0,53.0,54.0,53.0
120,53.0,53.0,53.0,53.0
122,53.0,53.0,53.0,53.0
124,53.0,53.0,53.0,53.0
126,53.0,52.0,54.0,53.0
128,53.0,53.0,54.0,53.0
130,53.0,53.0,54.0,53.0
132,53.0,53.0,53.0,53.0
134,53.0,53.0,53.0,53.0
136,53.0,53.0,54.0,53.0
138,53.0,53.0,53.0,53.0
140,53.0,53.0,53.0,53.0
142,53.0,52.0,54.0,53.0
144,53.0,53.0,53.0,53.0
146,53.0,53.0,54.0,53.0
148,53.0,53.0,54.0,53.0
150,53.0,53.0,53.0,53.0
152,54.0,53.0,53.0,53.0
154,53.0,53.0,53.0,53.0
156,53.0,52.0,53.0,53.0
158,53.0,52.0,53.0,53.0
160,53.0,52.0,53.0,53.0
162,53.0,53.0,53.0,52.0
164,54.0,52.0,54.0,53.0
166,54.0,52.0,54.0,53.0
168,53.0,53.0,53.0,53.0
170,53.0,53.0,54.0,53.0
172,54.0,53.0,54.0,53.0
174,53.0,53.0,53.0,53.0
176,53.0,53.0,53.0,53.0
178,54.0,53.0,54.0,53.0
180,54.0,53.0,54.0,53.0
182,53.0,53.0,53.0,53.0
184,53.0,52.0,53.0,53.0
186,53.0,52.0,54.0,53.0
188,54.0,53.0,54.0,53.0
190,54.0,53.0,54.0,53.0
192,53.0,53.0,53.0,53.0
194,53.0,52.0,53.0,53.0
196,53.0,53.0,53.0,53.0
198,53.0,53.0,54.0,53.0
200,53.0,53.0,54.0,53.0
202,53.0,53.0,53.0,52.0
204,53.0,52.0,53.0,53.0
206,53.0,53.0,54.0,53.0
208,53.0,53.0,53.0,53.0
210,53.0,52.0,54.0,53.0
212,53.0,53.0,53.0,53.0
214,53.0,53.0,53.0,53.0
216,53.0,53.0,54.0,53.0
218,53.0,53.0,54.0,53.0
220,54.0,53.0,53.0,53.0
222,54.0,53.0,53.0,53.0
224,53.0,52.0,53.0,53.0
226,53.0,53.0,53.0,53.0
228,53.0,53.0,54.0,53.0
230,53.0,52.0,53.0,53.0
232,53.0,53.0,54.0,53.0
234,53.0,52.0,53.0,53.0
236,53.0,53.0,53.0,53.0
238,53.0,53.0,53.0,53.0
240,53.0,53.0,54.0,53.0
242,53.0,53.0,54.0,53.0
244,53.0,52.0,53.0,53.0
246,54.0,53.0,53.0,53.0
248,53.0,52.0,54.0,53.0
250,53.0,52.0,54.0,53.0
252,54.0,53.0,53.0,53.0
254,54.0,53.0,53.0,53.0
256,54.0,53.0,53.0,53.0
258,54.0,53.0,53.0,53.0
260,53.0,53.0,54.0,53.0
262,53.0,52.0,53.0,53.0
264,53.0,53.0,54.0,53.0
266,53.0,53.0,54.0,53.0
268,53.0,52.0,53.0,53.0
270,53.0,53.0,53.0,53.0
272,53.0,52.0,53.0,53.0
274,53.0,53.0,53.0,53.0
276,53.0,52.0,54.0,53.0
278,53.0,53.0,53.0,53.0
280,53.0,53.0,53.0,53.0
282,53.0,52.0,53.0,53.0
284,53.0,53.0,54.0,53.0
286,54.0,53.0,53.0,52.0
288,53.0,53.0,54.0,53.0
290,53.0,53.0,53.0,53.0
292,53.0,52.0,54.0,53.0
294,53.0,53.0,54.0,53.0
296,53.0,53.0,53.0,53.0
298,53.0,53.0,53.0,53.0
300,53.0,53.0,54.0,53.0
302,53.0,53.0,54.0,53.0
304,53.0,53.0,54.0,53.0
306,53.0,53.0,54.0,52.0
308,53.0,52.0,53.0,53.0
310,53.0,53.0,54.0,53.0
312,53.0,53.0,54.0,53.0
314,54.0,53.0,53.0,52.0
316,53.0,53.0,53.0,53.0
318,53.0,53.0,53.0,52.0
320,53.0,53.0,53.0,53.0
322,54.0,53.0,53.0,53.0
324,54.0,53.0,53.0,53.0
326,54.0,52.0,53.0,52.0
328,53.0,53.0,54.0,53.0
330,53.0,53.0,54.0,53.0
332,53.0,53.0,53.0,53.0
334,53.0,53.0,54.0,52.0
336,53.0,53.0,53.0,53.0
338,53.0,53.0,54.0,53.0
340,53.0,53.0,54.0,53.0
342,53.0,53.0,54.0,53.0
344,53.0,53.0,53.0,53.0
346,53.0,53.0,54.0,53.0
348,53.0,53.0,54.0,53.0
350,54.0,53.0,54.0,53.0
352,54.0,53.0,54.0,53.0
354,53.0,52.0,53.0,53.0
356,57.0,54.0,54.0,52.0
358,58.0,55.0,52.0,49.0
360,64.0,56.0,55.0,50.0
362,68.0,57.0,54.0,63.0
364,65.0,76.0,73.0,59.0
366,70.0,40.0,78.0,47.0
368,59.0,31.0,42.0,51.0
370,52.0,55.0,53.0,70.0
372,66.0,56.0,37.0,92.0
374,72.0,64.0,44.0,81.0
376,50.0,51.0,47.0,86.0
378,53.0,46.0,67.0,23.0
380,50.0,56.0,63.0,36.0
382,50.0,48.0,48.0,58.0
384,60.0,46.0,52.0,50.0
386,68.0,54.0,42.0,46.0
388,65.0,53.0,46.0,43.0
390,52.0,49.0,52.0,40.0
392,49.0,46.0,58.0,31.0
394,53.0,44.0,64.0,33.0
396,60.0,45.0,53.0,50.0
398,67.0,53.0,49.0,42.0
400,59.0,57.0,52.0,38.0
402,52.0,54.0,55.0,44.0
404,46.0,50.0,53.0,58.0
406,43.0,49.0,55.0,47.0
408,43.0,52.0,52.0,47.0
410,44.0,53.0,52.0,53.0
412,43.0,54.0,54.0,44.0
414,40.0,51.0,57.0,41.0
416,46.0,49.0,53.0,54.0
418,50.0,52.0,54.0,55.0
420,53.0,54.0,53.0,50.0
422,61.0,52.0,52.0,53.0
424,67.0,50.0,52.0,53.0
426,67.0,51.0,54.0,48.0
428,70.0,52.0,53.0,49.0
430,72.0,52.0,53.0,53.0
432,69.0,52.0,53.0,53.0
434,68.0,52.0,52.0,55.0
436,66.0,52.0,53.0,53.0
438,61.0,53.0,53.0,50.0
440,55.0,53.0,54.0,49.0
442,51.0,53.0,53.0,53.0
444,47.0,54.0,54.0,52.0
446,43.0,54.0,53.0,53.0
448,41.0,54.0,54.0,53.0
450,40.0,53.0,55.0,52.0
452,41.0,54.0,55.0,52.0
454,43.0,54.0,54.0,54.0
456,46.0,54.0,53.0,55.0
458,49.0,53.0,53.0,54.0
460,53.0,53.0,54.0,53.0
462,55.0,52.0,54.0,54.0
464,55.0,52.0,55.0,53.0
466,55.0,52.0,54.0,54.0
468,56.0,53.0,53.0,54.0
470,58.0,53.0,53.0,54.0
472,57.0,53.0,54.0,53.0
474,54.0,53.0,53.0,52.0
476,53.0,53.0,54.0,51.0
478,53.0,53.0,54.0,51.0
480,52.0,52.0,54.0,52.0
482,51.0,52.0,53.0,53.0
484,52.0,52.0,54.0,52.0
486,53.0,52.0,54.0,52.0
488,55.0,52.0,53.0,52.0
490,56.0,53.0,53.0,52.0
492,56.0,52.0,54.0,52.0
494,58.0,52.0,53.0,53.0
496,58.0,52.0,53.0,53.0
498,58.0,52.0,53.0,53.0
500,57.0,52.0,53.0,53.0
502,55.0,53.0,53.0,53.0
504,55.0,53.0,53.0,52.0
506,54.0,52.0,54.0,53.0
